Pool,Title,Author,Publication Title,Vote_1,Vote_2,Final_Decision,Rationale
Pool 2 (C&D),Integrity-based Explanations for Fostering Appropriate Trust in AI Agents,"Mehrotra, Siddharth; Jorge, Carolina Centeio; Jonker, Catholijn M.; Tielman, Myrthe L.",ACM Trans. Interact. Intell. Syst.,Exclude,Include,Include,"Interaction focus, with outcome. AI purpose implied"
Pool 2 (C&D),"Inter-agent trust models: A comparative study of Brief, claim, Proof, Stake, reputation and Constraint in agentic web protocol design-A2A, AP2, ERC-8004, and beyond","Hu, Botao 'amber; Rong, Helena",,Include,For Consideration,Include,"Considered as unsure if met ""interaction"" criteria; accepted as implied "
Pool 2 (C&D),Interaction context often increases sycophancy in LLMs,"Jain, Shomik; Park, Charlotte; Viana, Matt; Wilson, Ashia; Calacci, Dana",,Exclude,Include,Include,"exclusion considered as venue field is missing, content otherwise relevant"
Pool 2 (C&D),Investigating CoT Monitorability in large Reasoning Models,"Yang, Shu; Wu, Junchao; Gong, Xilin; Wu, Xuansheng; Wong, Derek; Liu, Ninghao; Wang, Di",,For Consideration,Include,Include,Dark patterns and interaction focus implied; obfuscation considered as dark pattern
Pool 2 (C&D),Investigating the impact of dark patterns on LLM-based web agents,"Ersoy, Devin; Lee, Brandon; Shreekumar, Ananth; Arunasalam, Arjun; Ibrahim, Muhammad; Bianchi, Antonio; Celik, Z Berkay",,For Consideration,Include,Exclude,Covers Use of LLMs to detect dark patterns in traditional GUIs. 
Pool 2 (C&D),Invisible saboteurs: Sycophantic LLMs mislead novices in problem-solving tasks,"Bo, Jessica Y; Kazemitabaar, Majeed; Deng, Mengqing; Inzlicht, Michael; Anderson, Ashton",,Exclude,Include,Include,Considered for exclusion due to missing venue; content otherwise sound
Pool 2 (C&D),"Is Your Prompt Detailed Enough?: Exploring the Effects of Prompt Coaching on Users' Perceptions, Engagement, and Trust in Text-to-Image Generative AI Tools","Chen, C.; Lee, S.; Jang, E.; Sundar, S.S.",,For Consideration,Exclude,Exclude,Focus on affects of prompting literacy; no mention of dark patterns
Pool 2 (C&D),LLM Whisperer: An Inconspicuous Attack to Bias LLM Responses,"Lin, Weiran; Gerchanovsky, Anna; Akgul, Omer; Bauer, Lujo; Fredrikson, Matt; Wang, Zifan",Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,Include,For Consideration,Include,perturbing inputs with synonyms has a drastic effect on outcomes; agreement that this constitutes a dark pattern
Pool 2 (C&D),LLM-Powered Embodied Intelligence for Socially-Aware Robot Navigation in Human-Robot Interaction,"Liu, Xuqing; Farid, Ahmed; Amano, Tatsuya; Rizk, Hamada; Yamaguchi, Hirozumi",Proceedings of the 19th International Symposium on Spatial and Temporal Data,Include,Exclude,Exclude,No explicit mention of dark patterns
Pool 2 (C&D),"Large Language Models in Programming: A Meta-Analysis of Tools, Users, and Human-Computer Interaction Themes","Olivares, D.M.; Bennington, C.; Skillestad, A.",Applied Human Factors and Ergonomics International,Exclude,For Consideration,Exclude,No explicit mention of dark patterns
Pool 2 (C&D),Learning Contextually-Adaptive Rewards via Calibrated Features,"Forsey-Smerek, Alexandra; Shah, Julie; Bobu, Andreea",Proceedings of the 21st ACM/IEEE International Conference on Human-Robot Interaction,Include,Exclude,Exclude,Appears majority technical; no mention of dark patterns
Pool 2 (C&D),Legal and Ethical Issues Arising from the Use of Chatbots in Public Administration,"Ioannidou, Eirini; Promikyridis, Rafail; Tambouris, Efthimios",Proceedings of the 28th Pan-Hellenic Conference on Progress in Computing and Informatics,Exclude,For Consideration,Exclude,"Not a peer reviewed study, nor a taxonomy paper. Covers legal and ethical considerations, and no mention of dark patterns"
Pool 2 (C&D),Listening to the Voices: Describing Ethical Caveats of Conversational User Interfaces According to Experts and Frequent Users,"Mildner, Thomas; Cooney, Orla; Meck, Anna-Maria; Bartl, Marion; Savino, Gian-Luca; Doyle, Philip R; Garaialde, Diego; Clark, Leigh; Sloan, John; Wenig, Nina; Malaka, Rainer; Niess, Jasmin",Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,Exclude,For Consideration,Exclude,"Discussion of AI, no live user interaction"
Pool 2 (C&D),Machine bullshit: Characterizing the emergent disregard for truth in large language models,"Liang, Kaiqu; Hu, Haimin; Zhao, Xuandong; Song, Dawn; Griffiths, Thomas L; Fisac, Jaime Fernández",,Include,Exclude,Exclude,Purely technical; presenting a framework
Pool 2 (C&D),MedOmni-45°: A safety-performance benchmark for reasoning-oriented LLMs in medicine,"Ji, Kaiyuan; Guo, Yijin; Zhang, Zicheng; Zhu, Xiangyang; Tian, Yuan; Liu, Ning; Zhai, Guangtao",,Include,Exclude,Exclude,Purely technical; presenting a framework
Pool 2 (C&D),Mind Your Manners: The Dynamics of Politeness in Human-AI vs. Human-Human Interactions,"Lazebnik, Teddy; Zalmanson, Lior; Mokryn, Osnat",Proc. ACM Hum.-Comput. Interact.,For Consideration,Exclude,Exclude,focus more on anthropomorphism than dark patterns
Pool 2 (C&D),Missing Pieces: How Do Designs that Expose Uncertainty Longitudinally Impact Trust in AI Decision Aids? An In Situ Study of Gig Drivers,"Chen, Rex; Wang, Ruiyi; Sadeh, Norman; Fang, Fei","Proceedings of the 2025 ACM Conference on Fairness, Accountability, and Transparency",Exclude,Include,Exclude,Insufficient mention of dark patterns
Pool 2 (C&D),Mitigative Strategies for Recovering From Large Language Model Trust Violations,"Martell, M.J.; Baweja, J.A.; Dreslin, B.D.",Journal of Cognitive Engineering and Decision Making,Exclude,Include,Exclude,Focus on AI trust rather than dark patterns
Pool 2 (C&D),Must Read: A Comprehensive Survey of Computational Persuasion,"Bozdag, Nimet Beyza; Mehri, Shuhaib; Yang, Xiaocheng; Ha, Hyeonjeong; Cheng, Zirui; Durmus, Esin; You, Jiaxuan; Ji, Heng; Tur, Gokhan; Hakkani-Tür, Dilek",ACM Comput. Surv.,Exclude,Include,Include,"Originally considered for exclusion as it is a review paper, content matches search criteria"
Pool 2 (C&D),Navigating Ideation Space: Decomposed conceptual representations for positioning scientific ideas,"Shen, Yuexi; Liu, Minqian; Zhou, Dawei; Huang, Lifu",,Include,Exclude,Exclude,Technical focus
Pool 2 (C&D),Navigating the Fog: How University Students Recalibrate Sensemaking Practices to Address Plausible Falsehoods in LLM Outputs,"Zhang, Chao; Zhu, Shengqi; Yang, Xinyu; Tseng, Yu-Chia; Jiang, Shenrong; Rzeszotarski, Jeffrey M.",Proceedings of the 7th ACM Conference on Conversational User Interfaces,Exclude,For Consideration,Exclude,No explicit mention of dark patterns
Pool 2 (C&D),Neural Transparency: Mechanistic Interpretability Interfaces for Anticipating Model Behaviors for Personalized AI,"Karny, Sheer; Baez, Anthony; Pataranutaporn, Pat",Proceedings of the 31st International Conference on Intelligent User Interfaces,Exclude,Include,Include,Dark  pattern primarily demonstrated via system transparency + sound user study
Pool 2 (C&D),Not What You've Signed Up For: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection,"Greshake, Kai; Abdelnabi, Sahar; Mishra, Shailesh; Endres, Christoph; Holz, Thorsten; Fritz, Mario",Proceedings of the 16th ACM Workshop on Artificial Intelligence and Security,Include,Exclude,Exclude,"Focus is more on cybersecurity and vulnerabilities, rather than dark patterns"
Pool 2 (C&D),Personalization increases affective alignment but has role-dependent effects on epistemic independence in LLMs,"Kelley, Sean W; Riedl, Christoph",,For Consideration,For Consideration,Exclude,Unclear if adaption to user traits constitutes a dark pattern
Pool 2 (C&D),Phare: A Safety Probe for Large Language Models,"Jeune, Pierre Le; Malézieux, Benoît; Xiao, Weixuan; Dora, Matteo",,For Consideration,Exclude,Exclude,Technical paper; introduces a framework
Pool 2 (C&D),Placebo Effect of Control Settings in Feeds Are Not Always Strong,"Hsu, Silas; Koshy, Vinay; Vaccaro, Kristen; Sandvig, Christian; Karahalios, Karrie",Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,For Consideration,Exclude,Exclude,focus on traditional GUI dark patterns
Pool 2 (C&D),Plan-Then-Execute: An Empirical Study of User Trust and Team Performance When Using LLM Agents As A Daily Assistant,"He, Gaole; Demartini, Gianluca; Gadiraju, Ujwal",Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,Exclude,For Consideration,Exclude,No explicit mention of dark patterns
Pool 2 (C&D),Pointing to a llama and call it a camel: On the sycophancy of multimodal large language models,"Pi, Renjie; Miao, Kehao; Peihang, Li; Liu, Runtao; Gao, Jiahui; Zhang, Jipeng; Zhou, Xiaofang",,For Consideration,Exclude,Exclude,Technical focus
Pool 2 (C&D),Position: The complexity of perfect AI alignment – formalizing the RLHF trilemma,"Sahoo, Subramanyam; Chadha, Aman; Jain, Vinija; Chaudhary, Divya",,Include,Exclude,Exclude,Technical focus
Pool 2 (C&D),Privacy Strategies for Conversational AI and their Influence on Users' Perceptions and Decision-Making,"Leschanowsky, Anna; Popp, Birgit; Peters, Nils",Proceedings of the 2023 European Symposium on Usable Security,Include,For Consideration,Exclude,Focus more on privacy
Pool 2 (C&D),Probing the Gaps in ChatGPT's Live Video Chat for Real-World Assistance for People who are Blind or Visually Impaired,"Chang, Ruei-Che; Natalie, Rosiana; Xu, Wenqian; Yap, Jovan Zheng Feng; Guo, Anhong",Proceedings of the 27th International ACM SIGACCESS Conference on Computers and Accessibility,Include,Exclude,Exclude,Insufficient mention of dark patterns 
Pool 2 (C&D),Prompt Leakage effect and defense strategies for multi-turn LLM interactions,"Agarwal, Divyansh; Fabbri, Alexander R; Risher, Ben; Laban, Philippe; Joty, Shafiq; Wu, Chien-Sheng",,For Consideration,Exclude,Exclude,Focus on cybersecurity;  Lack of dark patterns
Pool 2 (C&D),RAudit: A blind auditing protocol for large language model reasoning,"Chang, Edward Y; Geng, Longling",,For Consideration,Exclude,Exclude,Mostly technical 
Pool 2 (C&D),Reasoning isn't enough: Examining truth-bias and sycophancy in LLMs,"Barkett, Emilio; Long, Olivia; Thakur, Madhavendra",,Include,Exclude,Exclude,Mostly technical 
Pool 2 (C&D),Resistance Against Manipulative AI: Key Factors and Possible Actions,"Wilczyński, P.; Mieleszczenko-Kowszewicz, W.; Biecek, P.",,Exclude,For Consideration,Exclude,Focus is predominantly on human factors
Pool 2 (C&D),Rethinking sparse Autoencoders: Select-and-project for fairness and control from encoder features alone,"Bărbălau, Antonio; Păduraru, Cristian Daniel; Poncu, Teodor; Tifrea, Alexandru; Burceanu, Elena",,For Consideration,Exclude,Exclude,Technical focus on autoencoders
Pool 2 (C&D),Retrieving Under Uncertainty: Towards a Chatbot Uncertainty Taxonomy (CUT) for Information Retrieval,"Asisof, Alina",Proceedings of the 2025 International ACM SIGIR Conference on Innovative Concepts and Theories in Information Retrieval (ICTIR),Exclude,Include,Exclude,Focus on human factors
Pool 2 (C&D),Revealing the intrinsic ethical vulnerability of aligned large language models,"Lian, Jiawei; Pan, Jianhong; Wang, Lefan; Wang, Yi; Mei, Shaohui; Chau, Lap-Pui",,For Consideration,Exclude,Exclude,No live user interaction
Pool 2 (C&D),Risk Analysis of Encountering Dark Patterns of UX E-commerce Applications Affecting Personal Data,"Nimkoompai, Apichaya",2022 6th International Conference on Information Technology (InCIT),Exclude,Include,Exclude,focus on traditional GUIs
Pool 2 (C&D),Robotic Sycophancy: A Scoping Review,"Seaborn, Katie; Yalçın, Özge Nilay",Companion Proceedings of the 21st ACM/IEEE International Conference on Human-Robot Interaction,Exclude,Include,Exclude,No live AI interaction
Pool 2 (C&D),SCOPE: Evaluating and Enhancing Permission Explanation Transparency in Mobile Apps,"Wang, Liu; Zhou, Tianshu; Wang, Haoyu; Liu, Xiyuan; Wang, Yi",2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),Include,Exclude,Exclude,No explicit mention of dark patterns
Pool 2 (C&D),SEAR: A Multimodal Dataset for Analyzing AR-LLM-Driven Social Engineering Behaviors,"Yu, Tianlong; Ye, Chenghang; Yang, Zheyu; Zhou, Ziyi; Tang, Cui; Tao, Zui; Zhang, Jun; Wang, Kailong; Zhou, Liting; Yang, Yang; Bi, Ting",Proceedings of the 33rd ACM International Conference on Multimedia,Exclude,For Consideration,Exclude,"Purely technical, no live AI interaction"
Pool 2 (C&D),ScamAgents: How AI agents can simulate human-level scam calls,"Badhe, Sanket",,Exclude,For Consideration,Exclude,Unclear if AI misuse (intentionally encouraging the model to decieve) constitutes a dark pattern
Pool 2 (C&D),SciTrust: Evaluating the Trustworthiness of Large Language Models for Science,"Herron, Emily; Yin, Junqi; Wang, Feiyi","SC24-W: Workshops of the International Conference for High Performance Computing, Networking, Storage and Analysis",For Consideration,Exclude,Exclude,Technical focus; insufficient exploration of dark patterns
Pool 2 (C&D),Scrutinizing Systemic Risks in Personalized Recommender Systems Through Sock-Puppet Auditing of VLOPs,"Bekavac, Luka; Strecker-Bischoff, Jannis; Garcia, Kimberly; Mayer, Simon; Tamò-Larrieux, Aurelia",ACM Trans. Recomm. Syst.,Exclude,Include,Exclude,"Technical focus; insufficient exploration of dark patterns, no live AI interaction"
Pool 2 (C&D),Self-deception: Reverse penetrating the semantic firewall of large language models,"Wang, Zhenhua; Xie, Wei; Chen, Kai; Wang, Baosheng; Gui, Zhiwen; Wang, Enze",,For Consideration,Exclude,Exclude,Focuses more on system vulnerabilities than dark patterns 
Pool 2 (C&D),Self-determination through explanation: an ethical perspective on the implementation of the transparency requirements for recommender systems set by the Digital Services Act of the European Union,"Fabbri, Matteo","Proceedings of the 2023 AAAI/ACM Conference on AI, Ethics, and Society",For Consideration,Exclude,Exclude,insufficient mention of AI; focuses on recommender systems in general
Pool 2 (C&D),Should ChatGPT Write Your Breakup Text? Exploring the Role of AI in Relationship Dissolution,"Fu, Yue; Chen, Yixin; Gomes Da Costa Lai, Zelia; Hiniker, Alexis",Proc. ACM Hum.-Comput. Interact.,Exclude,Include,Exclude,insufficient mention of dark patterns; focus on genAI mediating an existing process
Pool 2 (C&D),Should Robots Comply with Our Instructions or Intentions?,"Horter, Tiffany; Markham, Andrew; Trigoni, Niki; Booth, Serena",Proceedings of the 21st ACM/IEEE International Conference on Human-Robot Interaction,For Consideration,For Consideration,Exclude,No explicit mention of dark patterns
Pool 2 (C&D),"Silicon Love: Deception, Vulnerability, and Artificial Companions","Wu, Guan Yue (Yuma)",Proceedings of the Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,Exclude,For Consideration,Exclude,"AI not explicitly mentioned; ""Artificial companions"" definition unclear"
Pool 2 (C&D),Simple synthetic data reduces sycophancy in large language models,"Wei, Jerry; Huang, Da; Lu, Yifeng; Zhou, Denny; Le, Quoc V",,For Consideration,Exclude,Exclude,Lack of live AI use; purely technical
Pool 2 (C&D),Simulation Evidence of Trust Calibration: Using POMDP with Signal Detection Theory to Adapt Agent Features for Optimised Task Outcome During Human-Agent Collaboration,"Herse, S.; Vitale, J.; Williams, M.-A.",International Journal of Social Robotics,Exclude,Include,Exclude,Lack of live AI use; purely technical
Pool 2 (C&D),"Socially Responsible and Trustworthy Generative Foundation Models: Principles, Challenges, and Practices","Huang, Yue; Chen, Canyu; Cheng, Lu; Kailkhura, Bhavya; Chawla, Nitesh; Zhang, Xiangliang",Proceedings of the 34th ACM International Conference on Information and Knowledge Management,For Consideration,Exclude,Exclude,invalid format (Tutorial)
Pool 2 (C&D),Sorry' Says the Robot: The Tendency to Anthropomorphize and Technology Affinity Affect Trust in Repair Strategies after Error,"Kraus, Johannes Maria; Merger, Julia; Gröner, Felix; Pätz, Jessica",Companion of the 2023 ACM/IEEE International Conference on Human-Robot Interaction,Include,For Consideration,Exclude,Focus on Anthropomorphism and repair strategies; lack of explicit dark patterns mentioned
Pool 2 (C&D),Staying at the Roach Motel: Cross-Country Analysis of Manipulative Subscription and Cancellation Flows,"Sheil, Ashley; Acar, Gunes; Schraffenberger, Hanna; Gellert, Raphael; Malone, David",Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,For Consideration,Exclude,Exclude,explores traditional GUI dark patterns; no mention of AI
Pool 2 (C&D),Steering language models with weight arithmetic,"Fierro, Constanza; Roger, Fabien",,For Consideration,For Consideration,Exclude,Mostly technical
Pool 2 (C&D),"Super Kawaii Vocalics: Amplifying the ""Cute"" Factor in Computer Voice","Mandai, Yuto; Seaborn, Katie; Nakano, Tomoyasu; Sun, Xin; Wang, Yijia; Kato, Jun",Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,Exclude,Include,Include,Please  - signed Greg
Pool 2 (C&D),Surfacing Variations to Calibrate Perceived Reliability of MLLM-generated Image Descriptions,"Chen, Meng; Iyer, Akhil; Pavel, Amy",Proceedings of the 27th International ACM SIGACCESS Conference on Computers and Accessibility,For Consideration,Exclude,Exclude,No mention of dark patterns; majority technical
Pool 2 (C&D),SusBench: An online benchmark for evaluating dark pattern susceptibility of computer-use agents,"Guo, Longjie; Yuan, Chenjie; Zhong, Mingyuan; Wolfe, Robert; Zhong, Ruican; Xu, Yue; Wen, Bingbing; Shen, Hua; Wang, Lucy Lu; Hiniker, Alexis",,Exclude,Include,Exclude,Focus on dark patterns in traditional GUIs
Pool 2 (C&D),SycEval: Evaluating LLM Sycophancy,"Fanous, Aaron; Goldberg, Jacob; Agarwal, Ank A; Lin, Joanna; Zhou, Anson; Daneshjou, Roxana; Koyejo, Sanmi",,For Consideration,For Consideration,Exclude,In depth analysis of sycophancy 
Pool 2 (C&D),Sycophancy in Large Language Models: Causes and Mitigations,"Malmqvist, Lars",,Exclude,For Consideration,Exclude,Technical focus
